Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
KFRC,64.66,14-11-2023,14:35 EST,2.3900032,63.31,65.08,63.14,38306,20231114,64.66,1,0,,,
SJW,64.63,14-11-2023,14:20 EST,3.02,63.08,64.75,63.39,44522,20231114,64.63,1,0,,,
AIG,64.595,14-11-2023,14:36 EST,0.8650017,64.06,64.62,63.79,2658920,20231114,64.595,1,0,,,
HBIA,64.52,14-11-2023,12:28 EST,-0.48000336,64.52,64.52,64.52,100,20231114,64.52,1,0,,,
BPMC,64.242,14-11-2023,14:36 EST,5.381996,61.49,64.78,61.1,447610,20231114,64.242,1,0,,,
PFBC,64.224,14-11-2023,14:30 EST,3.7439995,62.34,64.72,62.34,72662,20231114,64.224,1,0,,,
CAMT,64.04,14-11-2023,14:36 EST,-1.159996,63.69,67.3099,62.305,716424,20231114,64.04,1,0,,,
ORA,64.01,14-11-2023,14:36 EST,5.000004,60.78,64.32,60.45,382867,20231114,64.01,1,0,,,
AAON,63.8881,14-11-2023,14:35 EST,4.8880997,60,63.995,59.71,295352,20231114,63.8881,1,0,,,
MCRI,63.875,14-11-2023,14:34 EST,1.8549995,63.33,64.345,63.33,26082,20231114,63.875,1,0,,,
HWKN,63.63,14-11-2023,14:23 EST,3.0600014,61.57,64.13,60.965,63835,20231114,63.63,1,0,,,
WGO,63.62,14-11-2023,14:36 EST,2.539997,63.34,64.82,62.99,269850,20231114,63.62,1,0,,,
ALGT,63.52,14-11-2023,14:36 EST,4.1500015,61.9,64.14,61.88,207532,20231114,63.52,1,0,,,
PSN,63.505,14-11-2023,14:36 EST,0.42499924,63.34,63.825,62.76,407233,20231114,63.505,1,0,,,
WMK,63.4421,14-11-2023,14:29 EST,2.0521,62.87,64.44,62.79,35316,20231114,63.4421,1,0,,,
GPDNF,63.31,14-11-2023,11:46 EST,1.3300018,63.31,63.31,63.31,907,20231114,63.31,1,0,,,
FRRFF,63.15,18-09-2023,11:46 EDT,0,63.15,63.15,63.15,1,20231114,63.15,1,0,,,
PNR,63.13,14-11-2023,14:36 EST,2.6399994,62.07,63.83,61.82,664079,20231114,63.13,1,0,,,
PLUS,63.005,14-11-2023,14:33 EST,2.2750015,62.05,63.4,62.03,56636,20231114,63.005,1,0,,,
RTPPF,63,09-11-2023,13:24 EST,0,63,63,63,2,20231114,63,1,0,,,
MBGAF,62.9775,14-11-2023,14:20 EST,2.3274994,62.45,63.14,62.45,26809,20231114,62.9775,1,0,,,
LEGIF,62.935,01-11-2023,10:52 EDT,0,62.935,62.935,62.935,2,20231114,62.935,1,0,,,
CGJTF,62.81,10-11-2023,15:38 EST,0,62.216,62.81,62.81,5483,20231114,62.81,1,0,,,
EXAS,62.77,14-11-2023,14:36 EST,3.5,62.41,63.97,62.17,1215117,20231114,62.77,1,0,,,
PEG,62.7622,14-11-2023,14:36 EST,1.4221992,62.48,62.96,62.215,2285723,20231114,62.7622,1,0,,,
MTX,62.65,14-11-2023,14:36 EST,2.6400032,61.94,63.145,61.408,62468,20231114,62.65,1,0,,,
PRFT,62.62,14-11-2023,14:31 EST,2.7199974,62.32,63.2,60.53,89324,20231114,62.62,1,0,,,
MET,62.595,14-11-2023,14:36 EST,2.1350021,61.22,62.79,61.16,2092391,20231114,62.595,1,0,,,
HUGPF,62.53,10-11-2023,14:17 EST,0,62.53,62.53,62.53,148,20231114,62.53,1,0,,,
ONEXF,62.5,14-11-2023,13:13 EST,1.2700005,62,62.5,62,883,20231114,62.5,1,0,,,
AMN,62.47,14-11-2023,14:36 EST,4.300003,59.22,63.86,58.9001,473272,20231114,62.47,1,0,,,
SKY,62.29,14-11-2023,14:36 EST,6.299999,58.62,63.165,58.78,356236,20231114,62.29,1,0,,,
AXSM,62.255,14-11-2023,14:36 EST,2.9449997,61.01,63.22,60.0822,415314,20231114,62.255,1,0,,,
ZM,62.205,14-11-2023,14:36 EST,0.6650009,63,64.04,62.17,2256967,20231114,62.205,1,0,,,
PFGC,62.16,14-11-2023,14:36 EST,1.1699982,61.67,62.54,61.54,445482,20231114,62.16,1,0,,,
HELKF,62.1,01-11-2023,12:53 EDT,0,62.1,62.1,62.1,500,20231114,62.1,1,0,,,
IAFNF,62.0069,09-11-2023,10:29 EST,0,62.0069,62.0069,62.0069,26,20231114,62.0069,1,0,,,
FOUR,61.995,14-11-2023,14:35 EST,3.1450005,60.28,62.075,59.6824,901327,20231114,61.995,1,0,,,
OXY,61.8599,14-11-2023,14:36 EST,0.24990082,61.75,62.15,61.57,4510531,20231114,61.8599,1,0,,,
STLJF,61.76,14-11-2023,10:07 EST,0.9334984,62,62,61.4823,697,20231114,61.76,1,0,,,
BRKR,61.59,14-11-2023,14:35 EST,3.9099998,59.29,62.02,59.29,675959,20231114,61.59,1,0,,,
SF,61.565,14-11-2023,14:34 EST,1.6649971,61.12,62.265,61.1,163554,20231114,61.565,1,0,,,
XROLF,61.53,13-11-2023,14:01 EST,0,61.53,61.53,61.53,938,20231114,61.53,1,0,,,
CCEP,61.44,14-11-2023,14:36 EST,0.36999893,61.5,61.59,60.995,372304,20231114,61.44,1,0,,,
LPX,61.32,14-11-2023,14:36 EST,3.369999,59.91,62.735,59.705,790259,20231114,61.32,1,0,,,
VSEC,61.29,14-11-2023,14:34 EST,2.380001,60,62.44,60,121893,20231114,61.29,1,0,,,
TD,61.195,14-11-2023,14:36 EST,1.3450012,60.6,61.27,60.62,1470651,20231114,61.195,1,0,,,
SXT,61.08,14-11-2023,14:35 EST,3.6000023,59.11,61.24,58.96,85331,20231114,61.08,1,0,,,
DCI,61.05,14-11-2023,14:36 EST,1.3600006,60.57,61.13,60.59,225241,20231114,61.05,1,0,,,
